id_municipio,nombre,id_provincia
323,CALERA DE LEÓN,7
324,CALZADILLA DE LOS BARROS,7
325,CAMPANARIO,7
326,CAMPILLO DE LLERENA,7
327,CASAS DE DON PEDRO,7
328,CASTILBLANCO,7
329,CASTUERA,7
330,CODOSERA (LA),7
331,CORDOBILLA DE LÁCARA,7
332,CORONADA (LA),7
333,CORTE DE PELEAS,7
334,DON BENITO,7
335,ESPARRAGALEJO,7
336,FREGENAL DE LA SIERRA,7
337,FUENLABRADA DE LOS MONTES,7
338,FUENTE DE CANTOS,7
339,FUENTE DEL ARCO,7
340,FUENTE DEL MAESTRE,7
341,FUENTES DE LEÓN,7
342,GRANJA DE TORREHERMOSA,7
343,GUAREÑA,7
344,HERRERA DEL DUQUE,7
345,HIGUERA DE LA SERENA,7
346,HIGUERA DE VARGAS,7
347,HIGUERA LA REAL,7
348,HORNACHOS,7
349,JEREZ DE LOS CABALLEROS,7
350,LLERENA,7
351,LOBÓN,7
352,MAGUILLA,7
353,MEDELLÍN,7
354,MEDINA DE LAS TORRES,7
355,MÉRIDA,7
356,MONESTERIO,7
357,MONTEMOLÍN,7
358,MONTERRUBIO DE LA SERENA,7
359,MONTIJO,7
360,NAVA DE SANTIAGO (LA),7
361,NAVALVILLAR DE PELA,7
362,OLIVA DE LA FRONTERA,7
363,OLIVENZA,7
364,ORELLANA LA VIEJA,7
365,PEÑALSORDO,7
366,PUEBLA DE ALCOCER,7
367,PUEBLA DE LA CALZADA,7
368,PUEBLA DE OBANDO,7
369,PUEBLA DE SANCHO PÉREZ,7
370,PUEBLA DEL MAESTRE,7
371,PUEBLONUEVO DEL GUADIANA,7
372,QUINTANA DE LA SERENA,7
373,RIBERA DEL FRESNO,7
374,ROCA DE LA SIERRA (LA),7
375,SALVALEÓN,7
376,SAN PEDRO DE MÉRIDA,7
377,SAN VICENTE DE ALCÁNTARA,7
378,SANTA AMALIA,7
379,SANTA MARTA,7
380,SANTOS DE MAIMONA (LOS),7
381,SEGURA DE LEÓN,7
382,SIRUELA,7
383,SOLANA DE LOS BARROS,7
384,TALARRUBIAS,7
385,TALAVERA LA REAL,7
386,TORRE DE MIGUEL SESMERO,7
387,TORREMEJÍA,7
388,USAGRE,7
389,VALDECABALLEROS,7
390,VALDELACALZADA,7
391,VALENCIA DE LAS TORRES,7
392,VALENCIA DEL MOMBUEY,7
393,VALENCIA DEL VENTOSO,7
394,VALLE DE LA SERENA,7
395,VALLE DE SANTA ANA,7
396,VALVERDE DE MÉRIDA,7
397,VILLAFRANCA DE LOS BARROS,7
398,VILLAGONZALO,7
399,VILLALBA DE LOS BARROS,7
400,VILLANUEVA DE LA SERENA,7
401,VILLANUEVA DEL FRESNO,7
402,VILLAR DE RENA,7
403,VILLAR DEL REY,7
404,ZAFRA,7
405,ZALAMEA DE LA SERENA,7
406,ZARZA (LA),7
407,ALAIOR,8
408,ALARÓ,8
409,ALCÚDIA,8
410,ALGAIDA,8
411,ANDRATX,8
412,ARTÀ,8
413,BINISSALEM,8
414,BUNYOLA,8
415,CALVIÀ,8
416,CAMPANET,8
417,CAMPOS,8
418,CAPDEPERA,8
419,CIUTADELLA DE MENORCA,8
420,EIVISSA,8
421,ESCORCA,8
422,ESPORLES,8
423,FELANITX,8
424,FERRERIES,8
425,FORMENTERA,8
426,INCA,8
427,LLOSETA,8
428,LLUCMAJOR,8
429,MAHÓN,8
430,MANACOR,8
431,MARRATXÍ,8
432,MERCADAL (ES),8
433,MONTUÏRI,8
434,MURO,8
435,PALMA DE MALLORCA,8
436,PETRA,8
437,POBLA (SA),8
438,POLLENÇA,8
439,PORRERES,8
440,SALINES (SES),8
441,SANT ANTONI DE PORTMANY,8
442,SANT JOAN,8
443,SANT JOAN DE LABRITJA,8
444,SANT JOSEP DE SA TALAIA,8
445,SANT LLORENÇ DES CARDASSAR,8
446,SANT LLUÍS,8
447,SANTA EUGÈNIA,8
448,SANTA EULALIA DEL RÍO,8
449,SANTA MARGALIDA,8
450,SANTA MARÍA DEL CAMÍ,8
451,SANTANYÍ,8
452,SENCELLES,8
453,SINEU,8
454,SÓLLER,8
455,SON SERVERA,8
456,VALLDEMOSSA,8
457,VILAFRANCA DE BONANY,8
458,ABRERA,9
459,ALELLA,9
460,AMETLLA DEL VALLÈS (L'),9
461,ARENYS DE MAR,9
462,ARENYS DE MUNT,9
463,ARGENTONA,9
464,ARTÉS,9
465,AVINYÓ,9
466,BADALONA,9
467,BADIA DEL VALLÈS,9
468,BALSARENY,9
469,BARBERÀ DEL VALLÈS,9
470,BARCELONA,9
471,BEGUES,9
472,BERGA,9
473,BIGUES I RIELLS,9
474,BRUC (EL),9
475,CABRERA DE MAR,9
476,CABRILS,9
477,CALAF,9
