id_localidad,nombre,id_municipio
447,GUADIANA DEL CAUDILLO,315
448,VILLAFRANCO DEL GUADIANA,315
449,ALBALA,315
450,BARCARROTA,316
451,BERLANGA,317
452,BIENVENIDA,318
453,BURGUILLOS DEL CERRO,319
454,CABEZA DEL BUEY,320
455,CABEZA LA VACA,321
456,CALAMONTE,322
457,CALERA DE LEON,323
458,CALZADILLA DE LOS BARROS,324
459,CAMPANARIO,325
460,CAMPILLO DE LLERENA,326
461,CASAS DE DON PEDRO,327
462,CASTILBLANCO,328
463,CASTUERA,329
464,CODOSERA (LA),330
465,CORDOBILLA DE LACARA,331
466,CORONADA (LA),332
467,CORTE DE PELEAS,333
468,DON BENITO,334
469,VIVARES,334
470,TORVISCAL (EL),334
471,GARGALIGAS,334
472,ESPARRAGALEJO,335
473,FREGENAL DE LA SIERRA,336
474,FUENLABRADA DE LOS MONTES,337
475,FUENTE DE CANTOS,338
476,FUENTE DEL ARCO,339
477,FUENTE DEL MAESTRE,340
478,FUENTES DE LEON,341
479,GRANJA DE TORREHERMOSA,342
480,GUAREÑA,343
481,HERRERA DEL DUQUE,344
482,HIGUERA DE LA SERENA,345
483,HIGUERA DE VARGAS,346
484,HIGUERA LA REAL,347
485,HORNACHOS,348
486,JEREZ DE LOS CABALLEROS,349
487,VALUENGO,349
488,LLERENA,350
489,LOBON,351
490,MAGUILLA,352
491,MEDELLIN,353
492,MEDINA DE LAS TORRES,354
493,MERIDA,355
494,MONESTERIO,356
495,PALLARES,357
496,MONTERRUBIO DE LA SERENA,358
497,MONTIJO,359
498,NAVA DE SANTIAGO (LA),360
499,NAVALVILLAR DE PELA,361
500,OBANDO,361
501,OLIVA FRONTERA,362
502,OLIVENZA,363
503,ORELLANA LA VIEJA,364
504,PEÑALSORDO,365
505,PUEBLA DE ALCOCER,366
506,PUEBLA DE LA CALZADA,367
507,PUEBLA DE OBANDO,368
508,PUEBLA DE SANCHO PEREZ,369
509,PUEBLA DEL MAESTRE,370
510,PUEBLONUEVO DEL GUADIANA,371
511,QUINTANA DE LA SERENA,372
512,RIBERA DEL FRESNO,373
513,ROCA DE LA SIERRA (LA),374
514,SALVALEON,375
515,SAN PEDRO DE MERIDA,376
516,SAN VICENTE DE ALCANTARA,377
517,SANTA AMALIA,378
518,SANTA MARTA,379
519,SANTOS DE MAIMONA (LOS),380
520,SEGURA DE LEON,381
521,SIRUELA,382
522,SOLANA DE LOS BARROS,383
523,RETAMAL,383
524,TALARRUBIAS,384
525,TALAVERA LA REAL,385
526,TORRE DE MIGUEL SESMERO,386
527,TORREMEJIA,387
528,USAGRE,388
529,VALDECABALLEROS,389
530,VALDELACALZADA,390
531,VALENCIA DE LAS TORRES,391
532,VALENCIA MOMBUEY,392
533,VALENCIA DEL VENTOSO,393
534,VALLE DE LA SERENA,394
535,VALLE DE SANTA ANA,395
536,VALVERDE DE MERIDA,396
537,VILLAFRANCA DE LOS BARROS,397
538,VILLAGONZALO,398
539,VILLALBA DE LOS BARROS,399
540,VILLANUEVA DE LA SERENA,400
541,VALDIVIA,400
542,ZURBARAN,400
