id_estacion,Dirección,Código postal,Latitud,Longitud,Tipo,Rótulo,Tipo venta,Rem.,Margen,id_localidad
72,AVENIDA DEL PUERTO S/N,15160,43.357556,-8.248306,maritima,SADAMAR - GALP,Suministro a barcos deportivos o de recreo,dm,A,1559
73,MUELLE PESQUERO S/N,20808,43.275584,-2.127945,maritima,REPSOL,Suministro a pesqueros,OM,A,4307
74,PASEO IRIBARREN S/N,20280,43.388361,-1.790722,maritima,REPSOL,Suministro a pesqueros,OM,A,1707
75,MUELLE DONI-BANE S/N,20110,43.322250,-1.911389,maritima,REPSOL,Suministro a pesqueros,OM,A,4308
76,ESPLANADA DEL PORT S/N,17300,41.675083,2.797889,maritima,CLUB VELA BLANES,Suministro a barcos deportivos o de recreo,dm,A,1751
77,PORT LA CLOTA S/N,17130,42.119194,3.126222,maritima,CLUB NAUTIC L'ESCALA,Suministro a barcos deportivos o de recreo,dm,A,1769
78,MUELLE PESQUERO S/N,17230,41.844667,3.125417,maritima,REPSOL,Suministro a pesqueros,OM,A,1793
79,LLOIA S/N,17489,0,0,maritima,NINGUNO,Suministro a barcos deportivos o de recreo,dm,A,1801
80,ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES,17480,0,0,maritima,PETREM MAR,Suministro a barcos deportivos o de recreo,dm,A,1810
81,MUELLE PESQUERO S/Nº,17480,42.252791,3.179420,maritima,REPSOL,Suministro a pesqueros,OM,A,1810
82,ZONA ESPORTIVA DEL PORT S/Nº,17220,41.773889,3.030528,maritima,CLUB NAUTIC SANT FELIU DE GUIXOLS,Suministro a barcos deportivos o de recreo,dm,A,1814
83,MUELLE PESQUERO S/Nº,17489,42.340846,3.200253,maritima,REPSOL,Suministro a pesqueros,OM,A,4309
84,ESPLANA DEL PORT S/N L'ESTARTIT,17258,42.052278,3.203972,maritima,SIN ROTULO,Mixto,dm,A,1829
85,PASSEIG MARÍTIM S/N,17258,0,0,maritima,CLUB NAUTIC ESTARTIT,Suministro a barcos deportivos o de recreo,dm,A,1829
